86,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 47. Family income and expenditure,,,,,,,,,
,,,,,,,,,
,,,,,,,,,"Persons, NT$"
Year,,No. of persons per household,No. of persons employed per household,Per household,,,,,
,,,,Current receipts ,,,,,"Average disposable income
(A)"
,,,,Total,Compensation of employees,Entrepre-neurial income,"Property
income","Transfer
income",
,,,,,,,,,
1976,,5.24,1.92,125324,75720,31080,11628,6900,116297
1981,,4.79,1.92,302114,187696,64242,36271,13905,266439
1991,,4.16,1.76,711333,429095,139521,98941,43776,587242
2001,,3.58,1.56,1108461,602182,176460,177199,152620,868651
2011,,3.29,1.49,1157895,646849,147071,170078,193897,907988
,,,,,,,,,
2012,,3.23,1.46,1176877,647332,148332,169341,211872,923584
2013,,3.21,1.46,1195566,655707,149970,170301,219589,942208
2014,,3.15,1.45,1213703,667520,151601,176624,217959,956849
2015,,3.1,1.43,1224600,665122,147585,182698,229194,964895
2016,,3.07,1.42,1253389,674344,154303,185749,238993,993115
2017,,3.07,1.43,1292578,695838,156791,190713,249236,1018941
2018,,3.05,1.42,1310447,707123,158872,192481,251971,1036304
2019,,3.02,1.4,1335845,724607,157174,194064,260000,1059731
2020,,2.92,1.37,1356343,725932,155828,195412,279171,1079648
2021,,2.89,1.35,1378390,732783,154289,197891,293427,1090554
,,,,,,,,,
,,,,,,,,,
"Note: Property income includes imputed rentals of owner-occupiers, and transfer income includes miscellaneous receipts. ",,,,,,,,,
"Source: Directorate-General of Budget, Accounting and Statistics, Executive Yuan",,,,,,,,,
