114,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,,
Table 64. Indices of industrial production,,,,,,,,,,,,,
,,,,,,,,,,,,,
2016=100,,,,,,,,,,,,,
Year,,General,Mining & quarrying,,,,Manufac-turing,,,,,,
,,,,Crude petroleum & natural gas extraction,"Quarrying of stone, sand, clay & other mining",,,Food & prepared animal feeds,Beve-rages,Tobacco products,Textiles mills,Wearing apparel & clothing accesso-ries ,"Leather, fur & related products"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Weights (‰),,1000,3.37,0.2,3.18,,919.49,26.31,9.17,16.86,11.63,0.96,0.39
1981,,-,-,-,-,,17.3,70.46,53.87,100.52,93.81,1499.48,1081.19
1991,,-,-,-,-,,33.58,98.32,84,112.36,125.72,1133.02,1411.89
2001,,49.84,189.11,-,-,,47.81,95.15,105.13,81.65,143.7,397.73,304.96
2006,,69.55,157.59,145.42,159.19,,67.74,90.23,81.37,59.57,115.58,216.19,258.19
2011,,90.01,131.07,100.85,132.93,,89.37,93.55,103.52,78.28,99.36,119.67,178.18
,,,,,,,,,,,,,
2012,,90.46,127.63,132.35,127.41,,89.87,93.95,107.39,82.63,98.54,115.78,164.78
2013,,93.36,117.07,114.49,117.55,,92.93,95.2,101.49,82.11,101.88,115.84,160.19
2014,,99.34,118.44,115.5,118.98,,99.28,95.47,102.6,81.37,103.59,114.11,159.6
2015,,98.07,110.7,111.78,110.52,,98.13,96.36,101.57,81.04,104.74,105.97,122.11
2016,,100,100,100,100,,100,100,100,100,100,100,100
2017,,105,98,84.38,100.52,,105.27,100.57,102.81,119.06,97.84,89.27,103.83
2018,,108.83,94.42,64.28,100.31,,109.41,102.15,99.27,116.03,94.79,81.29,97.44
2019,,108.45,90.96,56.59,97.84,,108.92,105.95,94.15,114.52,90.02,79.47,99.2
2020,,116.13,106.63,46.27,119.25,,117.15,105.82,97.75,107.06,79.35,69.65,78.2
2021,,131.71,110.76,49.38,123.67,,133.86,107.55,92.31,118.24,90.1,76.3,82.51
,,,,,,,,,,,,,
Year,, Manufacturing,,,,,,,,,,,
,,Wood & bamboo products,"Pulp, paper & paper products",Printing & reproduc-tion of recorded media,Petro-leum & coal products,"Chemical, fertilizers, nitrogen compounds, 
plastic & rubber, man-made fibres",Other chemical products,Pharmaceu-ticals & medicinal chemical products,Rubber products,Plastic products,Non-metallic mineral products,Basic metal,Fabrica-ted metal products
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Weights (‰),,0.78,8.71,5.24,34.14,62.59,16.48,8.77,7.56,14.89,11,47.54,37.21
1981,,963.79,38.31,41.31,23.46,12.09,16.25,19.46,38.77,37.34,59,15.02,40.44
1991,,608.49,76.47,61.92,33.4,28.89,41.26,51.12,100.65,115.65,101.02,39.35,84.31
2001,,189.83,86.05,80.85,73.24,64.53,64.64,64.33,81.68,111.58,102.35,72.6,93.03
2006,,122.08,97.94,113.11,109.96,82.9,78.22,70.97,99.55,108.36,110.64,91.28,98.95
2011,,94.83,96.9,114.6,91.15,99.42,87.84,88.19,110.07,100.37,109.47,99.56,99.11
,,,,,,,,,,,,,
2012,,94.72,97.59,108.18,97.39,98.9,87.67,93.27,104.29,99.97,104.54,95.36,99.49
2013,,96.3,98.32,106,98.73,100.13,94.89,96.14,102.29,100.14,109.97,99.19,101.49
2014,,103.61,100.83,104.16,98.77,100.41,99.65,92.03,106.97,105.15,112.12,102.75,105.99
2015,,100.88,98.91,101.74,98.99,99.8,101.52,95.51,106.41,101.96,108.57,96.01,101.4
2016,,100,100,100,100,100,100,100,100,100,100,100,100
2017,,103.34,100.22,96.97,95.2,102.67,107.98,99.12,102.79,101.95,97.49,102.73,100.03
2018,,107.43,101.32,95.28,97.95,104.56,110.94,102.4,99.38,104.01,100.52,105.08,100.43
2019,,99.87,100.74,84.73,96.86,99.97,109.79,109.84,102.72,102.05,97.17,96.74,93.85
2020,,102.1,100.35,82.45,81.12,100.32,104.76,117.3,100.16,103.24,97.62,95.97,92.79
2021,,120.21,102.71,84.98,85.44,110.33,110.86,127.53,103.22,109.97,105.26,107.85,106.25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Source: Ministry of Economic Affairs,,,,,,,,,,,,,
