76,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,STATISTICAL  YEARBOOK OF
,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,Edited 2022
,,,,,,,
Table 38. General situation of national pension,,,,,,,
,,,,,,,
,,,,,,,"Persons, Thousand NT$"
Year & District,,"No. of insured persons
(1)",Premium receivable,,,Real insurance benefit payments (2),
,,,,,,,
,,,Total,Premium paid by government,"Premium paid by
 the insured",Persons,Amount
,,,,,,,
2008,,4220905,8189050.474,0,8189050.474,935562,5642834.788
2009,,4014678,30843317.29,0,30843317.29,1044341,37696991.26
2010,,3872241,29862186.06,0,29862186.06,1109914,40498338.15
2011,,3783731,80506454.66,48624277.88,31882176.79,1216260,43281019.499
,,,,,,,
2012,,3725626,46283655.17,16977260.66,29306394.51,1293871,53283637.93
2013,,3677601,47443117.67,16508155.8,30934961.87,1373599,58001718.76
2014,,3584020,47168321.03,16869802.53,30298518.51,1454560,61017621.63
2015,,3509970,51044259.191999994,17664559.492999997,33379699.699,1531373,64800157.38100001
2016,,3425214,50814482.582,18236252.024,32578230.558,1620012,71141319.267
2017,,3349164,52126239.513,18443081.091,33683158.422,1696768,75311801.052
2018,,3286664,51895694.607,18971769.284,32923925.323,1770198,78982940.293
2019,,3230918,53850440.589,19571333.836,34279106.753,1833837,82111121.009
2020,,3105983,51623391.357,18386321.311,33237070.046,1887352,86699697.295
2021,,2911028,51407747.613,18266356.094,33141391.519,1927506,88596831.089
Taiwan Area ,,,,,,,
New Taipei City ,,523831,9340076.662,3240086.709,6099989.953,367424,17110731.011
Taipei City ,,351255,6551933.529,2426234.437,4125699.092,271424,12770616.454
Taoyuan City ,,297378,5218030.202,1798223.191,3419807.011,175073,8134194.156
Taichung City ,,391097,6902404.888,2473451.844,4428953.044,209953,9627480.412
Tainan City ,,212249,3787454.498,1364259.046,2423195.452,139016,6350519.196
Kaohsiung City ,,331800,5830047.84,2098023.339,3732024.501,229967,10298557.17
Yilan County,,40846,707135.079,247568.274,459566.805,39186,1779301.103
Hsinchu County,,62783,1092378.246,372622.716,719755.53,42360,1963745.427
Miaoli County,,58528,1017747.874,359823.085,657924.789,41983,1949043.986
Changhua County,,139786,2426053.53,910428.775,1515624.755,86969,3952237.24
Nantou County,,61292,1021636.24,332866.837,688769.403,33628,1505522.021
Yunlin County,,62536,1065662.879,383188.272,682474.607,39420,1782999.743
Chiayi County,,51833,877905.707,296145.62,581760.087,30401,1349870.92
Pingtung County,,101362,1698509.273,614686.651,1083822.622,58713,2554135.737
Taitung County,,35845,594898.809,212408.384,382490.425,21246,968647.119
Hualien County,,45136,748028.103,262102.461,485925.642,32635,1489397.96
Penghu County,,8106,143239.123,52617.808,90621.315,6867,270653.895
Keelung City ,,40416,706432.981,243519.073,462913.908,38775,1844573.918
Hsinchu City ,,47401,848352.937,299251.357,549101.58,32569,1506413.78
Chiayi City ,,31121,538636.412,183415.077,355221.335,20855,970395.493
Kinmen & Lienchiang Area,,,,,,,
Kinmen County,,15037,268063.237,88151.155,179912.082,8081,373547.741
Lienchiang County,,1390,23119.564,7281.983,15837.581,961,44246.607
,,,,,,,
說　　明：,1.自81年度起，垃圾處理量含自行或委託清運至垃圾場(廠)之一般事業廢棄物，故平均每日垃圾清運量與處理量總計不相等。,,,,,,
,,,,,,,
Note: (1) End of year,,,,,,,
　　   (2) The grand total means the sum of the persons receiving pensions at the end of the recent year and the total of the persons receiving maternity ,,,,,,,
                and funeral benefit.,,,,,,,
"Source: Bureau of Labor Insurance, Ministry of Labor",,,,,,,
