162,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,STATISTICAL  YEARBOOK OF
,,,,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,,,,Edited 2022
,,,,,,,,,,,,
Table 93. Legislator election summary,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,"Persons, Years "
"Term & 
Electoral type",,Population,Eligible voters ,Election Date, Candidates,,Electees,,Electee's average age,Electee's education degree above college,Turnouts,"Turnout 
ratio
(％)"
,,,,,,,,,,,,
,,,,,,Female,,Female,,,,
,,,,,,,,,,,,
 The 1st term ,, - , - ,1948.01, - , - ,760, - , - , - , - , - 
 The 2nd term,,20685341,13421170,1992.12.19,403, - ,161, - ,46.49,144,9666021,72.0207031130669
 The 3rd term,,21258039,14153424,1995.12.02,397,50,164,23,47.35,147,9574388,67.64715025848163
The 4th Term,,21833772,14961930,1998.12.05,498,86,225,43,48.44,192,10188302,68.0948380322592
The 5th term,,22350363,15822583,2001.12.01,584,110,225,50,48.74,206,10468990,66.16486069309923
The 6th term,,22640250,16559254,2004.12.11,492,96,225,47,49,430,9796299,59.16
The 7th term,,22925311,17179656,2008.01.12,423,121,113,34,52,102,10050619,58.5
The 8th term,,23224912,17980578,2012.01.14,410,131,113,38,52,105,13390326,74.47
The 9th term,,23483793,18692217,2016.01.16,556,187,113,43,50,104,12400029,66.34
The 10th term,,23598776,19221861,2020.01.11,647,245,113,47,52,108,14402075,74.92549758839688
Electoral districts,,23027824,18806913,,410,127,73,25,51,70,14129999,75.13194217466736
New Taipei City ,,3959964,3261226,,72,21,12,3,50,10,2454072,75.24998267522705
Taipei City ,,2628329,2142067,,56,18,8,3,49,8,1635271,76.34079606286825
Taoyuan City ,,2171143,1717959,,28,9,6,2,51,6,1285068,74.80201797598195
Taichung City ,,2778959,2217608,,42,11,8,2,48,8,1696354,76.49476372740358
Tainan City ,,1872982,1546098,,31,12,6,3,52,6,1172203,75.81686283793137
Kaohsiung City ,,2737901,2266452,,48,20,8,3,50,8,1757859,77.55994832451779
Yilan County,,436820,362603,,6,1,1,0,57,1,268198,73.96463901291494
Hsinchu County,,541557,420355,,13,2,2,0,56,2,317215,75.46359624603014
Miaoli County,,534238,437824,,12,2,2,0,66,1,323676,73.92833650051162
Changhua County,,1266861,1029172,,16,8,4,4,48,4,769430,74.76204171897409
Nantou County,,465115,391271,,7,3,2,2,49,2,287771,73.54774568010407
Yunlin County,,679019,562012,,8,4,2,1,58,2,403119,71.72782787556137
Chiayi County,,497453,422717,,10,2,2,0,52,2,307105,72.65026010309498
Pingtung County,,759384,640643,,15,6,2,0,54,2,480522,75.00620470371175
Taitung County,,138222,117051,,4,0,1,0,52,1,79208,67.66964827297502
Hualien County,,233092,197162,,6,1,1,0,57,1,140751,71.38850285551983
Penghu County,,104625,87287,,3,0,1,0,53,1,51013,58.44283799420303
Keelung City ,,359472,303637,,4,1,1,0,46,1,223470,73.59774994483544
Hsinchu City ,,444189,340854,,6,2,1,0,50,1,261478,76.71261009112406
Chiayi City ,,266616,213240,,8,2,1,1,54,1,162257,76.0912586756706
Kinmen County,,139018,119092,,10,2,1,1,46,1,47890,40.21260873946193
Lienchiang County,,12865,10583,,5,0,1,0,67,1,6069,57.34668808466409
Electoral aborigines,,570952,414948,,21,9,6,3,57,5,272076,65.56869776453918
Lowland areas,,267501,199833,,10,5,3,1,58,3,124504,62.30402385992304
Highland areas,,303451,215115,,11,4,3,2,55,2,147572,68.60144573832602
Legislator-at-large,,23598776,19312105,,216,109,34,19,54,33,14456293,74.85612262360836
,,,,,,,,,,,,
,,,,,,,,,,,,
Source: Central Election Commission,,,,,,,,,,,,
 ,,,,,,,,,,,,
