106,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,STATISTICAL  YEARBOOK OF
,,,,,,,,,THE REPUBLIC OF CHINA 2021
,,,,,,,,,Edited 2022
,,,,,,,,,
Table 59. Quantity and value of major farm products ,,,,,,,,,
,,,,,,,,,
,,,,,,,,"MTs, Thousand NT$
",
Year,, Paddy rice,,Betel nuts,,Pineapples,,Mangos,
,,,,,,,,,
,, Quantity,Value , Quantity,Value , Quantity,Value , Quantity,Value 
,,,,,,,,,
1946,,1173105,28040289,-,-,17625,98876,2017,16768
1981,,3004808,46369380,24358,694461,181039,940726,152062,1530763
1991,,2311638,38738610,111090,8887200,241477,2897724,144730,2749870
2001,,1723895,32828360,165076,13206057,388691,5052978,212875,4640673
2011,,1666273,38145866,129316,8082247,401367,6742965,169380,6478771
,,,,,,,,,
2012,,1700229,39746469,124091,8065946,392211,7220603,167247,7016029
2013,,1589564,36983554,124054,8435695,413465,8008823,215168,9181220
2014,,1732210,41479191,121435,10686248,456243,9143108,152932,7620614
2015,,1581731.749,37419791,113182,10186357,493998,10215886,166260,6974608
2016,,1587776.407,37976695,99992,9199261,527161,12103611,106766,8414265
2017,,1754049.019,40549053,102165,11401603,553531,13019045,150559,7724153
2018,,1949796.313,42986458,102918.011,9159702.979,432083.666,9194740.41248,146672.496,7007001.75456
2019,,1791210.861,39891467,103766.875,5759061.5625,431084.125,8845846.245,167791.045,7694185.95714
2020,,1750728.579,38753919,98565.458,6603885.686,419027.949,8573311.83654,171537.233,7070939.63422
2021,,1560869.959,35149100,95535.542,7117397.879,402836.22,8910737.1864,171661.964,8120550.81359
,,,,,,,,,
Year,,Watermelons,,Sugar-cane (Refined),, Tea,,Pears,
,,,,,,,,,
,, Quantity,Value , Quantity,Value , Quantity,Value , Quantity,Value 
,,,,,,,,,
1946,,6202,20527,1006526,112399,2919,135915,-,-
1981,,307786,1736409,8422015,7234511,25223,1566285,118199,1733946
1991,,350038,3675399,4536231,5761013,21380,1817300,127495,2677395
2001,,330082,4291062,2180288,2579280,19837,3570596,100565,3318648
2011,,246643,2843300,653952,839674,17310,6894424,150013,5760495
,,,,,,,,,
2012,,243067,3159871,548455,630723,14902,6735506,137911,5981216
2013,,212690,2764964,505526,530802,14718,6917312,109105,4797348
2014,,211330,3090485,502706,519798,15200,7523876,134549,6723438
2015,,217466,2763563,618264,635575,14405,6827835,127016,5973577
2016,,201133,3643523,526843,510511,13018,7602478,111424,7481031
2017,,210661,2677505,455144,470619,13443,7640177,117694,7454766
2018,,220845.985,3118345.3082,578778,557941.992,14737.648,7477440.46576,118648.819,6815188.16336
2019,,176004.185,2520379.9292,532569,512863.947,14636.526,7011335.04978,91031.961,5039529.36096
2020,,163500.889,2192546.92149,530796,513810.528,14341.321,8244968.85611,101449.861,5712641.67291
2021,,151190.225,2174115.4355,594724,642301.92,11883.313,6737125.47222,102244.106,5896417.59302
,,,,,,,,,
,,,,,,,,,
Note: Data do not  include Kinmen County and Lienchiang County before 2010.,,,,,,,,,
"Source: Agriculture and Food Agency, COA, Executive Yuan",,,,,,,,,
